key,hhid,village,county_code,consent,enum_code,duration,comments,p_size_unit,p_sizea,p_sizeh,p_sizem,p_sizep1,p_sizep2,p_size_acres,exp_3,exp_4,exp_b1,exp_b2,exp_b3,exp_b4,exp_b5,ffertl,fertypel1,fertypeol1,fertypel2,fertypeol2,fertypel3,fertypeol3,fertamtl1,fertunitl1b,fertamtl2,fertunitl2b,fertamtl3,fertunitl3,exp_5,exp_6,exp_c1,exp_c2,exp_c3,exp_c4,exp_c5,exp_probe,exp_7,exp_8,exp_d1,exp_d2,exp_d3,exp_d4,exp_d5,conf1,conf2,conf3,conf4,conf5,conf6,conf7,conf8,conf9,conf10,conf11,placement1,placement2,placement3,placement4,placement5,purchase_nr,purchase1_distance,trust1,trust2,purchase2_distance,trust3,trust4,purchase3_distance,trust5,trust6,purchase_nr2,purchase4_distance,trust7,trust8,purchase5_distance,trust9,trust10,purchase6_distance,trust11,trust12,aspirations1,aspirations2,aspirations3,aspirations4,aspirations5,aspirations6,aspirations7,aspirations8,aspirations9,aspirations10,aspirations11,aspirations12,aspirations13,dap_price,can_price,lime_price,order1,order2,order3,submissiondate,starttime,endtime,purchase1_landmark_code,purchase2_landmark_code,purchase3_landmark_code,purchase4_landmark_code,purchase5_landmark_code,purchase6_landmark_code,purchase1_other_code,purchase2_other_code,purchase3_other_code,purchase4_other_code,purchase5_other_code,purchase6_other_code,purchase1_location_code,purchase2_location_code,purchase3_location_code,purchase4_location_code,purchase5_location_code,purchase6_location_code,purchase1_name_code,purchase2_name_code,purchase3_name_code,purchase4_name_code,purchase5_name_code,purchase6_name_code
uuid:c14dc589-7811-4d5c-a6c3-3f0c77c4b89b,442,25,2,Yes,3,1055,,acres,1,,,,,1,1,10,4,5,5,3,3,Yes,DAP,,CAN (26:0:0),,None,,50,kg,50,kg,,,2,17,4,5,2,7,2,Farmer has no idea,,,,,,,,The same as others,True,Lower,Not-acidic,50,50,When plant is knee high,Don't know,Kills pests,2,2,5,5,Much higher than others,Rarely,A lot less than others,1,5.5 km,No,Completely trust their product,,,,,,,1,5.5 km,No,Completely trust their product,,,,,,,,,,,,,,,,,,,,60,44,7,1800,1500,1700,17mar2017 00:08:39,13mar2017 03:56:16,13mar2017 04:13:52,81,,,72,,,9,,,5,,,21,,,19,,,58,,,39,,
uuid:b3bf644f-0167-4fa4-93b6-115b6676b14e,1935,104,2,Yes,3,1169,,acres,1,,,,,1,.2,1,4,2,6,3,5,Yes,DAP,,CAN (26:0:0),,None,,45,kg,45,kg,,,.5,10,3,5,4,3,5,Farmer has no idea,,,,,,,,The same as others,True,Lower,Don't know,-99,-99,When plant is knee high,Don't know,Don't know,2,2 3,5,5,A little higher than others,Rarely,A little less than others,1,4 km,No,Completely trust their product,,,,,,,1,4 km,No,Completely trust their product,,,,,,,,,,,,,,,,,,,,60,44,7,3000,2000,0,17mar2017 00:08:40,14mar2017 01:18:47,14mar2017 01:38:16,18,,,20,,,40,,,33,,,21,,,19,,,58,,,39,,
uuid:e4f01a14-5063-49f4-ac2a-513f9367ac9e,1950,104,2,Yes,3,592,,acres,1,,,,,1,.30000001,2,5,2,4,5,4,Yes,DAP,,CAN (26:0:0),,None,,50,kg,50,kg,,,.80000001,10,2,6,4,5,3,Farmer has no idea,,,,,,,,The same as others,Don't know,Lower,Don't know,50,50,When plant is knee high,Don't know,Don't know,2 3,31,6,5,Much higher than others,Rarely,A little less than others,1,8 km,No,Completely trust their product,,,,,,,1,8 km,No,Trust the product a lot,,,,,,,,,,,,,,,,,,,,60,44,7,3000,2000,0,17mar2017 00:08:42,14mar2017 02:31:10,14mar2017 02:41:02,18,,,20,,,35,,,31,,,21,,,19,,,58,,,38,,
uuid:ea129cbc-c3ec-4777-9e63-8472a2318fe1,1947,104,2,Yes,3,716,,acres,2,,,,,2,.2,4,4,3,3,5,5,Yes,DAP,,CAN (26:0:0),,None,,90,kg,90,kg,,,.60000002,8,4,3,5,5,3,Farmer has no idea,,,,,,,,The same as others,True,Lower,Don't know,50,50,When plant is knee high,Don't know,Don't know,2,2 3,5,5,Much higher than others,Sometimes,A little less than others,1,7 km,No,Trust the product a lot,,,,,,,1,7 km,No,Completely trust their product,,,,,,,,,,,,,,,,,,,,60,44,7,2500,2500,0,17mar2017 00:08:44,14mar2017 04:15:23,14mar2017 04:27:19,55,,,18,,,35,,,31,,,21,,,19,,,53,,,34,,
uuid:a0f4d290-8bc4-42fa-8a85-e9f8f7abff5e,1318,72,1,Yes,3,1506,,acres,1,,,,,1,.1,2,3,6,3,5,3,Yes,DAP,,manure,,None,,20,kg,5,wheelbarrow,,,.5,5,5,2,3,6,4,Farmer has no idea,,,,,,,,A little more than others,True,Lower,Don't know,50,50,When plant is knee high,Don't know,Don't know,2,2 3,7,5,About same as others,Rarely,A little less than others,1,4 km,No,Completely trust their product,,,,,,,1,4 km,No,Completely trust their product,,,,,,,,,,,,,,,,,,,,60,44,7,2500,0,2500,17mar2017 00:08:46,15mar2017 01:06:30,17mar2017 00:03:44,53,,,58,,,40,,,33,,,24,,,22,,,93,,,80,,
uuid:9bbe7c5d-8487-4f62-8ac5-368c589454dc,1324,72,1,Yes,3,655,,acres,.25,,,,,.25,.1,1,4,5,3,3,5,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,The same as others,True,Lower,Don't know,-99,-99,When plant is knee high,Don't know,Don't know,31,31,4,5,A little less than others,Sometimes,The same as others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,2500,2000,500,17mar2017 00:08:48,15mar2017 02:59:08,15mar2017 03:10:03,,,,,,,,,,,,,,,,,,,,,,,,
uuid:db7e2e90-dff8-47ae-bb06-cc81f614e8e2,1849,99,1,Yes,3,865,,acres,1,,,,,1,0,1,4,5,3,4,4,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,A little more than others,True,Lower,Don't know,-99,-99,When plant is knee high,Don't know,Don't know,2,31,5,5,About same as others,Sometimes,A little more than others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,2500,1500,1000,17mar2017 00:08:49,16mar2017 00:36:43,17mar2017 00:03:58,,,,,,,,,,,,,,,,,,,,,,,,
uuid:8eab025d-98b4-481b-85f1-6a823118efc1,1858,99,1,Yes,3,551,,acres,1,,,,,1,.40000001,2.2,3,4,6,2,5,Yes,manure,,None,,,,10,wheelbarrow,,,,,.80000001,5,4,3,4,5,4,Farmer has no idea,,,,,,,,The same as others,True,Lower,Don't know,50,25,When plant is knee high,Don't know,Don't know,2,31,5,5,About same as others,Sometimes,The same as others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,2500,1500,1000,17mar2017 00:08:51,16mar2017 01:53:13,17mar2017 00:04:07,,,,,,,,,,,,,,,,,,,,,,,,
uuid:752accc6-fd14-4d61-890c-fc7e464da8e1,1847,99,1,Yes,2,610,,acres,.5,,,,,.5,0,.75,2,4,4,4,6,Yes,manure,,None,,,,10,wheelbarrow,,,,,.5,1,1,4,4,4,7,Farmer has no idea,,,,,,,,The same as others,True,Lower,Not-acidic,-99,-99,When plant is knee high,Don't know,Don't know,2,31,3,6,A lot less than others,Never,A lot less than others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,3000,2000,0,17mar2017 00:09:27,16mar2017 00:34:12,16mar2017 12:12:20,,,,,,,,,,,,,,,,,,,,,,,,
uuid:2141828f-beb8-44e3-b406-139a38acd814,1841,99,1,Yes,2,1171,,acres,.75,,,,,.75,0,2,0,5,5,5,5,Yes,NPK (20:20:0),,manure,,None,,50,kg,40,debe,,,.5,3,0,5,5,5,5,Farmer has no idea,,,,,,,,A lot less than others,True,Lower,Not-acidic,-99,-99,When plant is knee high,Don't know,Don't know,2,31,6,10,A little higher than others,Sometimes,A little more than others,1,4,No,Completely trust their product,,,,,,,1,Na,No,Completely trust their product,,,,,,,,,,,,,,,,,,,,60,44,7,3000,2000,0,17mar2017 00:09:32,16mar2017 01:31:28,16mar2017 12:15:16,15,,,36,,,20,,,20,,,7,,,20,,,3,,,15,,
